Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US5200225,07.04.1993,Pizza baking process,NA,A21B 3/00;A21B 3/04;A21D 13/00;A21D 13/00,APAYDIN OKAN,Apaydin Okan,NA
US20060186186,25.08.2006,Pizza box,"[11207167 2005-08-18T23:59:59.000Z US, 60602991 2004-08-19T23:59:59.000Z US]",B65D 5/00;B65D 5/00,International Paper Company,Kuhn Wayne H.;Pizzitola Frank,NA
WO2006023692,03.03.2006,PIZZA BOX,"[60/602,991 19.08.2004 US]",B65D 5/66;B65D 85/36,"INTERNATIONAL PAPER COMPANY;KUHN, Wayne, H.;PIZZITOLA, Frank","KUHN, Wayne, H.;PIZZITOLA, Frank",NA
US5002221,27.03.1991,Stacked pizza pie box,NA,B65D 5/48;B65D 5/49,RAGAN PHILIP J,Ragan Philip J.,NA
US20020079357,28.06.2002,Pizza packaging system and method,[09517065 2000-03-01T23:59:59.000Z US],B65D 5/48;B65D 5/49;B65D 85/36,TULKOFF MARTIN,"Tulkoff, Martin",NA
US4904492,28.02.1990,Method for cooking pizza,NA,A21B 3/00;A21B 3/00;A21B 3/15,Wells Manufacturing Company,Prigge George W.,NA
WO2014130755,29.08.2014,FROZEN PIZZA PREPARATION PACKAGE AND METHOD,"[US 20130225 61/768,603, US 20131107 14/073,949, US 20140219 14/183,602]",A21D 8/00;A21D 13/00;B65D 81/34;B65D 85/36,"WEINSTEIN, Michael;WEINSTEIN, Robert E.","WEINSTEIN, Michael;WEINSTEIN, Robert E.",NA
US4344534,18.08.1982,Pizza carrier,NA,A45C 11/00;A45C 11/00;A45C 11/20;A45C 11/20;A45C 13/00;A45C 13/26,SUTTON BERNARD,Sutton Bernard,NA
CA2791135,02.09.2011,AUTOMATED PIZZA ASSEMBLY SYSTEM,"[13/033,650 2011-02-24T23:59:59.000Z US, 61/308,487 2010-02-26T23:59:59.000Z US, 61/320,337 2010-04-02T23:59:59.000Z US]",A21C 9/04;A21C 9/08,"LITTLE CAESAR ENTERPRISES, INC.","FRITZ-JUNG, CATHRYN;SCRIVANO, DAVID;STROTHER, DAVID;THOMAS, AMANDA B.;HESLIP, SEAN M.;DEEMTER, KENT A.;MCCOY, TYLER W.;HOEKSEMA, BRET A.",NA
US4498376,13.02.1985,Pizza cooking utensil,NA,A47J 37/10;A47J 37/06;A47J 37/06;A47J 37/10;A47J 37/10,CAREY THOMAS F,Carey Thomas F.,NA
CA2777889,06.05.2011,PIZZA SANDWICH,"[12/609,638 2009-10-30T23:59:59.000Z US]",A21D 13/00,NESTEC S.A.,"DODD, KRISTIN N.;GREINER, STEVEN P.;CONWAY, BERNARD WILLIAM;YOST, RACHEL MICHELLE;FOSTER, LISA A.;STOCKWELL, PATRICIA",NA
WO2005123545,30.12.2005,PIZZA BOX,"[10/865,540 10.06.2004 US]",B65D 85/36;B65D 5/66;B65D 5/00,"INTERNATIONAL PAPER COMPANY;KUHN, Wayne, H.;PIZZITOLA, Frank","KUHN, Wayne, H.;PIZZITOLA, Frank",NA
EP1799567,28.06.2007,PIZZA BOX,"[2005029489 2005-08-18T23:59:59.000Z US, 60299104 2004-08-19T23:59:59.000Z US]",B65D 5/66;B65D 85/36,INT PAPER CO,KUHN WAYNE H;PIZZITOLA FRANK,NA
US4066796,04.01.1978,Coating pizza products,NA,A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/08;A23L 1/00;A23L 1/00,"Food Research, Inc.",McKee Donald H.,NA
US20120024170,03.02.2012,Automated Pizza Assembly System,NA,A23P 1/00,Fritz-Jung Cathryn;Scrivano David;Strother David;Thomas Amanda B.;Heslip Sean M.;Deemter Kent A.;McCoy Tyler W.;Hoeksema Bret A.,Fritz-Jung Cathryn;Scrivano David;Strother David;Thomas Amanda B.;Heslip Sean M.;Deemter Kent A.;McCoy Tyler W.;Hoeksema Bret A.,NA
CA1156508,09.11.1983,FROZEN PIZZA AND METHOD,"[63,997 1979-08-06T23:59:59.000Z US]",A23L 1/00;A21D 15/02,NA,"YANTIS, JUNE E.;HEMPENIUS, WALTER L.",NA
WO1998000028,09.01.1998,DIVIDED PIZZA WITH ADJOINING CRUST SEGMENTS,"[08/673,337 28.06.1996 US]",A21D 13/00,"PAULUCCI, Jeno, F.","PAULUCCI, Jeno, F.",NA
US4131080,27.12.1978,Utensil for making pizzas,NA,A21C 9/00;A21C 9/04,HUGHES LEROY A,Hughes Leroy A.,NA
US20120076444,30.03.2012,PIZZA PACKAGING,[PA 2009 00612 2009-05-14T23:59:59.000Z DK],B65D 30/00,Ostergaard Ole,Ostergaard Ole,NA
US20140242223,29.08.2014,Frozen pizza preparation package and method,NA,A21D 13/00;A21D 8/06;A21D 15/02,Weinstein Michael;Weinstein Robert E,Weinstein Michael;Weinstein Robert E,NA
US20040265438,31.12.2004,Deep dish pizza crust,"[09572808 2000-05-17T23:59:59.000Z US, 10042964 2002-01-08T23:59:59.000Z US, 10864554 2004-06-09T23:59:59.000Z US, 60134569 1999-05-17T23:59:59.000Z US]",A23B 4/00;A21C 11/00;A21C 11/00;A21D 10/00;A21D 10/02;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/00;B65D 5/20;B65D 5/28;B65D 5/42;B65D 5/42;B65D 77/04;B65D 77/04;B65D 85/30;B65D 85/36,"KRAFT FOOD HOLDINGS, INC.",Lamp Mary A.;Forneck Keith;Paulos William T.,NA
