"type","office","office_code","origin","technology_original","technology_number","technology","year","count"
"Region","North America","R5","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",1042
"Region","North America","R5","Resident","29 - Other special machines",29,"Other special machines","1980",2347
"Region","North America","R5","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",1087
"Region","North America","R5","Resident","31 - Mechanical elements",31,"Mechanical elements","1980",1713
"Region","North America","R5","Resident","32 - Transport",32,"Transport","1980",1733
"Region","North America","R5","Resident","33 - Furniture, games",33,"Furniture, games","1980",1719
"Region","North America","R5","Resident","34 - Other consumer goods",34,"Other consumer goods","1980",1228
"Region","North America","R5","Resident","35 - Civil engineering",35,"Civil engineering","1980",1942
"Region","North America","R5","Non-Resident","0 - Unknown",0,"Unknown","1980",544
"Region","North America","R5","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",2893
"Region","North America","R5","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",1268
"Region","North America","R5","Non-Resident","3 - Telecommunications",3,"Telecommunications","1980",695
"Region","North America","R5","Non-Resident","4 - Digital communication",4,"Digital communication","1980",141
"Region","North America","R5","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1980",631
"Region","North America","R5","Non-Resident","6 - Computer technology",6,"Computer technology","1980",595
"Region","North America","R5","Non-Resident","7 - IT methods for management",7,"IT methods for management","1980",15
"Region","North America","R5","Non-Resident","8 - Semiconductors",8,"Semiconductors","1980",516
"Region","North America","R5","Non-Resident","9 - Optics",9,"Optics","1980",1863
"Region","North America","R5","Non-Resident","10 - Measurement",10,"Measurement","1980",2063
"Region","North America","R5","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",201
"Region","North America","R5","Non-Resident","12 - Control",12,"Control","1980",614
"Region","North America","R5","Non-Resident","13 - Medical technology",13,"Medical technology","1980",1047
