applicants_orgs_all,publication_number,applicants_orgs_all_1
Braibanti M G Spa,EP0691078,Braibanti M G Spa
Agapi Trade Ag,EP0989067,Agapi Trade Ag
Daewoo Electronics Corporation,US20050133503,Daewoo Electronics Corporation
Dsm Ip Assets B.V,EP2570444,Dsm Ip Assets B.V
The Stouffer Corporation,US5247149,The Stouffer Corporation
Braibanti M G Spa,EP0715810,Braibanti M G Spa
"Pizza Hut, Inc",US6054697,"Pizza Hut, Inc"
"B. Via International Housewares, Inc",US5526569,"B. Via International Housewares, Inc"
"Pizza Hut, Inc",US20070160715,"Pizza Hut, Inc"
Balsamore Corp,US5469779,Balsamore Corp
"Pizza Hut, Inc",WO1999004638,"Pizza Hut, Inc"
"Schwan Food Manufacturing, Inc",CA2460583,"Schwan Food Manufacturing, Inc"
Termopizza Srl,US20020040862,Termopizza Srl
Termopizza S R L,EP1193184,Termopizza S R L
Daewoo Electronics Corporation,US20060191922,Daewoo Electronics Corporation
"Pizza Hut, Inc",US6327968,"Pizza Hut, Inc"
"National Presto Industries, Inc",US6967036,"National Presto Industries, Inc"
"Little Caesar Enterprises, Inc",US20090200408,"Little Caesar Enterprises, Inc"
"J. E. Grote Company, Inc",US4264634,"J. E. Grote Company, Inc"
Panaderia Rial S L,EP2708135,Panaderia Rial S L
"Edgewater International, Limited",WO1992007341,"Edgewater International, Limited"
"M & M Holdings, Inc",US6365210,"M & M Holdings, Inc"
"Schwan Food Manufacturing, Inc",WO2003022059,"Schwan Food Manufacturing, Inc"
"Pizza Hut, Inc",WO2006115481,"Pizza Hut, Inc"
Zamuci Srl,US4403937,Zamuci Srl
Waltzing Limited Liability Company,CA2269062,Waltzing Limited Liability Company
Tecnoforni S.R.L,CA2609374,Tecnoforni S.R.L
"M & M Holdings, Inc",US6629493,"M & M Holdings, Inc"
Omnitech S R L,EP0876245,Omnitech S R L
Angelyeast Co Ltd,US20100248332,Angelyeast Co Ltd
Grupoutil Desenvolvimento De Produtos De Utilidada Ltda,US5381905,Grupoutil Desenvolvimento De Produtos De Utilidada Ltda
Sistemi Di Pietro Domenico Tabonis & C. S.A.S,WO2005015509,Sistemi Di Pietro Domenico Tabonis & C. S.A.S
Leprino Cheese Co,US4085228,Leprino Cheese Co
"Boboli, Inc",US4696823,"Boboli, Inc"
Italpizza S R L,EP1883305,Italpizza S R L
"Phase Change Laboratories, Inc",WO2001070034,"Phase Change Laboratories, Inc"
Scm Corporation,US4100308,Scm Corporation
Agapi Trade Ag,CA2313883,Agapi Trade Ag
Eurotecno-S.R.L,US5873294,Eurotecno-S.R.L
American Can Company,US4134004,American Can Company
Tecnoforni S.R.L,WO2006125475,Tecnoforni S.R.L
The Pillsbury Company,WO2000035291,The Pillsbury Company
Zamuci Srl,EP0069078,Zamuci Srl
Eurotecno-S.R.L,CA2243666,Eurotecno-S.R.L
"Little Caesar Enterprises, Inc",US20090071850,"Little Caesar Enterprises, Inc"
Eurotecno-S.R.L,WO1997027031,Eurotecno-S.R.L
Societe DAssistance Technique Pour Produits Nestle S.A,US4251549,Societe DAssistance Technique Pour Produits Nestle S.A
Westvaco Corporation,US4979667,Westvaco Corporation
Roncadin Bakery S R L,EP1219174,Roncadin Bakery S R L
"K & G Enterprises, Llc",US20120308702,"K & G Enterprises, Llc"
Jamestown Container Corporation,WO1993019989,Jamestown Container Corporation
Jamestown Container Corporation,US5234158,Jamestown Container Corporation
"Kraft Foods Holdings, Inc",CA2339696,"Kraft Foods Holdings, Inc"
Sigma S R L,WO2012146999,Sigma S R L
Alimec S R L,EP1388286,Alimec S R L
"Kraft Foods Holdings, Inc",US6156364,"Kraft Foods Holdings, Inc"
Weyerhaeuser Company,US6375066,Weyerhaeuser Company
The Quaker Oats Company,US4303677,The Quaker Oats Company
Mar IS S R L,EP1454529,Mar IS S R L
G E D S A S Di Gianni Paolo & C,US20140373734,G E D S A S Di Gianni Paolo & C
Initiatives And Innovations Pty Ltd,EP1534596,Initiatives And Innovations Pty Ltd
Weyerhaeuser Company,US20010032874,Weyerhaeuser Company
Sasib Holland N.V,WO2000007448,Sasib Holland N.V
G E D S A S Di Gianni Paolo & C,WO2013118095,G E D S A S Di Gianni Paolo & C
"Schwan Sales Enterprises, Inc",US20030049353,"Schwan Sales Enterprises, Inc"
Initiatives And Innovations Pty Ltd,US20050218202,Initiatives And Innovations Pty Ltd
"Schwan Food Manufacturing, Inc",US20050175743,"Schwan Food Manufacturing, Inc"
Champion International Corporation,US4360107,Champion International Corporation
